""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"3-D23PM"	60301	56541	55765	56252	51843	45579
"3-D24"	52585	48425	48143	48282	45755	41242
"3-D25"	76245	70848	70289	70598	65750	56253
"3-D28AM"	55921	52069	51423	51888	47067	40117
"3-D29AM"	57502	53365	53048	53242	48763	39830
"3-D29PM"	96289	89810	89261	89609	81410	65616
"3-D2AM"	83720	75838	75552	75620	67032	56859
"3-D2PM"	70091	64008	63680	63787	57621	47513
"3-D30AM"	91556	84944	84625	84771	77530	61383
"3-D30PM"	60158	55566	55413	55478	51168	43470
"3-D31AM"	66110	60602	60257	60445	53283	42508
"3-D31PM"	72033	67882	67536	67733	62417	48787
"3-D32"	72481	67963	67643	67833	62772	48743
"3-D33"	122713	112789	111825	112415	99742	70178
"3-D35AM"	64801	60849	60417	60710	55377	42204
"3-D35PM"	81238	74979	74542	74842	66683	49755
"3-D36AM"	78161	71826	71490	71675	63835	48413
"3-D36PM"	95217	89191	88696	88997	80677	62080
"3-D37AM"	107813	94888	94709	94260	80405	69258
"3-D38"	93015	83613	83291	83292	74558	62002
"3-D39"	107580	99683	99288	99456	90880	71622
"3-D3AM"	75013	66736	66419	66438	58390	49551
"3-D3PM"	70926	62138	61863	61820	52742	46155
"3-D42AM"	79820	71912	71702	71737	65372	53279
"3-D42PM"	53551	50585	50439	50512	46888	38255
"3-D43AM"	68392	64200	63915	64055	58342	44302
"3-D43PM"	88436	81894	81477	81607	72795	50815
"3-D44AM"	52314	48739	48668	48668	44280	36033
"3-D44PM"	64521	60704	60577	60620	55339	43648
"3-D45AM"	80824	76359	76179	76228	69655	55027
"3-D45PM"	84528	80646	80378	80528	75312	58916
"3-D46"	164397	156303	155884	156093	142751	109791
"3-D47"	88978	85055	84672	84905	78480	61107
"3-D4AM"	92470	81248	81003	80838	67928	58223
"3-D4PM"	91206	83881	83224	83655	75080	58989
"3-D5"	87911	80908	80320	80631	71405	56303
"3-D50AM"	77106	72118	71848	71942	67774	56819
"3-D50PM"	57312	53449	53181	53349	48994	41211
"3-D51AM"	46288	42557	42435	42447	38343	33880
"3-D51PM"	84065	78761	78365	78489	73567	61927
"3-D52AM"	62859	58051	57882	57896	51957	43945
"3-D52PM"	58846	54632	54430	54484	49604	42268
"3-D53"	43614	39937	39729	39788	35551	29404
"3-D54"	63006	54613	54236	54372	48829	38505
